rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Endogenous1_hsa-miR-15a-5p|0_MIMAT0000068,6.70086086738816,-0.582780511586227,0.278037076242308,-2.09605322952805,0.0360774692955441,NA
Endogenous1_hsa-miR-802|0_MIMAT0004185,17.6711276853477,0.527836251348282,0.252831523393387,2.08769952521707,0.0368249477070366,0.148236018312224
Endogenous1_hsa-miR-188-3p|0_MIMAT0004613,10.7022188833832,0.520046475886547,0.250315642236769,2.07756283722231,0.0377496420225417,0.150681344207624
Endogenous1_hsa-miR-4647|0_MIMAT0019709,18.2366240550481,0.479016672901481,0.231752487533814,2.06693217405742,0.0387405455215386,0.152725050050356
Endogenous1_hsa-miR-197-5p|0_MIMAT0022691,14.7817708811673,0.483178239794248,0.234268705698815,2.0624958777697,0.0391605496146046,0.152725050050356
Endogenous1_hsa-miR-6720-3p|0_MIMAT0025851,12.2466484990679,0.522037871671539,0.253194484966423,2.06180585545047,0.0392262233813545,0.152725050050356
Endogenous1_hsa-miR-30a-3p|0_MIMAT0000088,18.3755112018102,0.47324282758988,0.232403164867441,2.03630113152638,0.0417201262853567,0.159919728147189
Endogenous1_hsa-miR-526b-5p|0_MIMAT0002835,18.2503710639952,0.515113859716877,0.253393813361618,2.03285886456019,0.0420667839890093,0.159919728147189
Endogenous1_hsa-miR-27b-3p|0_MIMAT0000419,11.4428243899454,0.501632552067931,0.246782958574958,2.03268716350836,0.0420841389861023,0.159919728147189
Endogenous1_hsa-miR-548d-3p|0_MIMAT0003323,7.9147227002143,0.533334997434581,0.262929615881339,2.02843257366366,0.0425161184093009,NA
Endogenous1_hsa-miR-379-5p|0_MIMAT0000733,16.7825383473581,-0.516226589767848,0.254761522479872,-2.0263130191045,0.0427327179542711,0.161095563716498
Endogenous1_hsa-miR-548q|0_MIMAT0011163,5.94264634289902,0.565454022355347,0.279281032280805,2.02467750042834,0.0429004904275302,NA
Endogenous1_hsa-miR-885-5p|0_MIMAT0004947,9.86765024570309,0.535440491464641,0.264700240401295,2.02281830440688,0.0430918837773844,0.161170431450847
Endogenous1_hsa-miR-626|0_MIMAT0003295,23.792100693693,0.497779223711878,0.247163407828198,2.01396811965743,0.0440128807170994,0.162205162863812
Endogenous1_hsa-miR-3065-5p|0.004_MIMAT0015066,15.1683132777705,-0.586635617410222,0.29147205560856,-2.0126650432591,0.0441498792535378,0.162205162863812
Endogenous1_hsa-miR-412-3p|0_MIMAT0002170,17.2016539977824,0.453150462163259,0.226273643949587,2.00266568502436,0.045213184358641,0.162205162863812
Endogenous1_hsa-miR-4536-3p|0_MIMAT0020959,16.7731221925398,0.476968146754683,0.238398389808372,2.0007188267424,0.0454226993706999,0.162205162863812
Endogenous1_hsa-miR-27a-3p|0_MIMAT0000084,14.6931085952212,0.488623454446356,0.244632963551959,1.9973737281835,0.0457845995663684,0.162205162863812
Endogenous1_hsa-miR-30b-5p|0_MIMAT0000420,25.120072432086,-0.489768384053543,0.245225693258386,-1.99721480056126,0.0458018539347999,0.162205162863812
Endogenous1_hsa-miR-338-5p|0_MIMAT0004701,16.2821339518985,0.484552644758318,0.242738208904143,1.99619436489155,0.045912770596503,0.162205162863812
Endogenous1_hsa-miR-181a-5p|0_MIMAT0000256,9.53384344197702,-0.547465272706033,0.274491226725032,-1.9944727532383,0.0461004147086622,0.162205162863812
Negative_NEG_G_ERCC_00144.1,14.4685786775085,0.492324485852049,0.247299034395425,1.99080634122022,0.0465021819582061,0.162415709045205
Endogenous1_hsa-miR-374a-5p|0_MIMAT0000727,21.5714914099463,-0.474186213924159,0.239366451485868,-1.9810053204225,0.0475906769370285,0.163024374569392
Endogenous1_hsa-miR-1255a|0_MIMAT0005906,19.6649313025039,0.448854115648824,0.226608010058392,1.98075132266139,0.0476191681192971,0.163024374569392
Endogenous1_hsa-miR-548a-5p|0_MIMAT0004803,27.8305002060585,0.502574016386282,0.253828171629635,1.97997729392936,0.0477060801371484,0.163024374569392
Endogenous1_hsa-miR-499a-3p|0_MIMAT0004772,18.7991991960972,-0.511015461330888,0.258861079499387,-1.97409151781003,0.0483713376590973,0.164117038486223
Endogenous1_hsa-miR-342-5p|0_MIMAT0004694,6.77695568185068,-0.547592339319876,0.278038102166799,-1.96948668204967,0.0488972304404182,NA
Endogenous1_hsa-miR-15b-5p|0_MIMAT0000417,15.9028731975793,-0.540382933097407,0.275148741956382,-1.9639665776959,0.0495339679604258,0.166869750221292
Endogenous1_hsa-miR-769-3p|0_MIMAT0003887,14.1160395152142,0.467748545242722,0.238851865551339,1.95832066943678,0.0501923969186905,0.167897102368859
Endogenous1_hsa-miR-221-3p|0_MIMAT0000278,10.2581997537825,-0.516018337087448,0.265357072039711,-1.94461874756526,0.0518208812249006,0.171235387272172
Endogenous1_hsa-miR-542-3p|0_MIMAT0003389,16.732170902485,0.483924979539392,0.24896208491699,1.9437697900897,0.0519232183130993,0.171235387272172
Endogenous1_hsa-miR-448|0_MIMAT0001532,16.5054749365906,0.481852638767245,0.24826400120268,1.9408880725074,0.0522718550620313,0.171235387272172
